r[cm]	λ[cm]	Q_ext	Q_sca	g
1e-08	0.0001725725725725726	9.076394125131278e-07	9.324572129160703e-15	3.1233652155628317e-08
1e-08	0.00017547547547547548	8.961369435322502e-07	8.709811581622934e-15	3.0195471686532963e-08
1e-08	0.00017837837837837839	8.850132946514563e-07	8.144476158546761e-15	2.9207784980867782e-08
1e-08	0.0001812812812812813	8.742502709506319e-07	7.623892210989776e-15	2.8267376754078045e-08
1e-08	0.00018418418418418418	8.638308245783561e-07	7.143892507836219e-15	2.737128341743344e-08
1e-08	0.00018708708708708711	8.537389657603717e-07	6.700754568908616e-15	2.65167698090787e-08
1e-08	0.00018998998998999	8.439596819663963e-07	6.291147311207369e-15	2.5701308396082772e-08
1e-08	0.0001928928928928929	8.344788643758485e-07	5.912084782311517e-15	2.4922560652127215e-08
1e-08	0.00019579579579579582	8.252832408849624e-07	5.560885950861556e-15	2.41783603546044e-08
1e-08	0.0001986986986986987	8.163603149863425e-07	5.235139686289876e-15	2.346669857834746e-08
1e-08	0.00020160160160160163	8.102369729289495e-07	4.93403312578169e-15	2.278755805351509e-08
1e-08	0.00020450450450450452	8.063271926914907e-07	4.6551397555041714e-15	2.213871012779963e-08
1e-08	0.00020740740740740743	8.02533803136689e-07	4.395547998259417e-15	2.1517007835973502e-08
1e-08	0.00021031031031031034	7.988519886728626e-07	4.153681936185237e-15	2.092096027117682e-08
1e-08	0.00021321321321321322	7.952771959643781e-07	3.928113473963046e-15	2.034917742746918e-08
1e-08	0.00021611611611611613	7.918051163183166e-07	3.717546719838479e-15	1.9800362117559536e-08
1e-08	0.00021901901901901904	7.884316694718337e-07	3.520804197604044e-15	1.9273302635734332e-08
1e-08	0.00022192192192192192	7.851529886519635e-07	3.3368146542539394e-15	1.8766866088490947e-08
1e-08	0.00022482482482482486	7.819654067928529e-07	3.1646022608457727e-15	1.8279992324332025e-08
1e-08	0.00022772772772772774	7.78865443807156e-07	3.0032770319968025e-15	1.781168840199136e-08
1e-08	0.00023063063063063062	7.758497948186987e-07	2.852026313196406e-15	1.7361023543199142e-08
1e-08	0.00023353353353353356	7.729153192727832e-07	2.7101072053886216e-15	1.6927124522088245e-08
1e-08	0.00023643643643643644	7.70059030848692e-07	2.5768398136152575e-15	1.650917144860321e-08
1e-08	0.00023933933933933938	7.672780881062909e-07	2.45160122136541e-15	1.6106393907901835e-08
1e-08	0.00024224224224224226	7.645697858051524e-07	2.3338201050324034e-15	1.5718067421814272e-08
1e-08	0.00024514514514514514	7.619315468404439e-07	2.222971913850797e-15	1.534351020202115e-08
1e-08	0.0002480480480480481	7.593609147450702e-07	2.1185745501423417e-15	1.4982080167789134e-08
1e-08	0.00025095095095095096	7.568555467122015e-07	2.0201844928637043e-15	1.4633172203914996e-08
1e-08	0.0002538538538538539	7.544132070965484e-07	1.9273933145103932e-15	1.4296215637020988e-08
1e-08	0.0002567567567567568	7.520317613564781e-07	1.8398245475493562e-15	1.3970671910556675e-08
1e-08	0.00025965965965965966	7.49709170402488e-07	1.7571308618625997e-15	1.3656032440828246e-08
1e-08	0.0002625625625625626	7.47443485320576e-07	1.6789915193002007e-15	1.3351816638126368e-08
1e-08	0.0002654654654654655	7.452328424418176e-07	1.6051100754602234e-15	1.3057570078583007e-08
1e-08	0.00026836836836836836	7.430754587319315e-07	1.5352123023182156e-15	1.2772862813779458e-08
1e-08	0.0002712712712712713	7.409696274768688e-07	1.4690443083905109e-15	1.2497287806371266e-08
1e-08	0.0002741741741741742	7.389137142424791e-07	1.4063708357935265e-15	1.2230459481108439e-08
1e-08	0.0002770770770770771	7.36906153088162e-07	1.3469737159074086e-15	1.1972012381625743e-08
1e-08	0.00027997997997998	7.349454430160613e-07	1.2906504674105888e-15	1.172159992427185e-08
1e-08	0.0002828828828828829	7.330301446388895e-07	1.2372130222600097e-15	1.1478893241048316e-08
1e-08	0.0002857857857857858	7.311588770508316e-07	1.1864865667825759e-15	1.1243580104451239e-08
1e-08	0.0002886886886886887	7.293303148872404e-07	1.138308486444831e-15	1.101536392765691e-08
1e-08	0.00029159159159159164	7.275431855599565e-07	1.092527404103907e-15	1.0793962834078482e-08
1e-08	0.0002944944944944945	7.257962666561484e-07	1.0490023026347663e-15	1.0579108790847437e-08
1e-08	0.0002973973973973974	7.240883834894866e-07	1.0076017237941903e-15	1.0370546801250394e-08
1e-08	0.00030030030030030034	7.230721133665998e-07	9.68203049297731e-16	1.016803413768817e-08
1e-08	0.0003032032032032032	7.276946535500677e-07	9.306919024602913e-16	9.971339561244755e-09
1e-08	0.0003061061061061061	7.322402323291689e-07	8.94961234713766e-16	9.78024298339321e-09
1e-08	0.00030900900900900904	7.36711024828232e-07	8.609110974339956e-16	9.594534504515372e-09
1e-08	0.0003119119119119119	7.411091251947096e-07	8.284480085842094e-16	9.414013961671296e-09
1e-08	0.00031481481481481486	7.454365503325966e-07	7.97484479780636e-16	9.238490391861786e-09
1e-08	0.00031771771771771774	7.496952434311699e-07	7.679385818720456e-16	9.067781529486023e-09
1e-08	0.0003206206206206206	7.538870773020443e-07	7.397335455823718e-16	8.90171333552723e-09
1e-08	0.00032352352352352356	7.580138575365622e-07	7.127973941024788e-16	8.740119556198114e-09
1e-08	0.00032642642642642645	7.620773254947186e-07	6.870626048184694e-16	8.582841308958287e-09
1e-08	0.00032932932932932933	7.660791611360058e-07	6.624657976337356e-16	8.429726693981135e-09
1e-08	0.00033223223223223226	7.700209857018506e-07	6.389474475838508e-16	8.280630429297868e-09
1e-08	0.00033513513513513515	7.739043642586413e-07	6.164516196603046e-16	8.135413507984544e-09
1e-08	0.0003380380380380381	7.777308081097264e-07	5.94925723954003e-16	7.993942875883075e-09
1e-08	0.00034094094094094097	7.815017770841914e-07	5.743202894045795e-16	7.856091128463015e-09
1e-08	0.00034384384384384385	7.852186817096984e-07	5.545887545991527e-16	7.721736225535967e-09
